Strong,Weak,Active,Passive,Politics
EFFECTIVENESS,REGRESS,DIFFER,LOSE,
EFFICACY,REGRESSION,DIG,LOST,
EFFICIENCY,REGRET,DIGNIFY,LOVE,
EFFICIENT,RELAPSE,DILIGENT,LOVELESS,
ELDER,RELATIVE,DIP,LUCKY,
ELEVATE,RELAX,DIRECT,LYING,
ELIMINATE,RELIANCE,DISABLE,MAD,
ELIMINATION,RELINQUISH,DISARM,MENTION,
EMANCIPATION,RELUCTANT,DISARMAMENT,MILL,
EMINENCE,RELY,DISCARD,MIND,
EMINENT,REMOTE,DISCERN,MISERABLE,
EMPEROR,REQUEST,DISCHARGE,MISERY,
EMPHASIS,RESIGN,DISCIPLINE,MISFORTUNE,
EMPHASIZE,RESTRICT,DISCOURAGE,MISTAKE,
EMPHATIC,RETREAT,DISCREDIT,MISUNDERSTAND,
EMPLOY,REVERT,DISCRIMINATE,MISUNDERSTOOD,
EMPLOYER,RIDICULOUS,DISHONOR,MIX,
EMPOWER,RUIN,DISMISS,MOOD,
EMPOWERMENT,RUN,DISPEL,MORTIFY,
ENABLE,RUNAWAY,DISPENSE,MOURN,
ENACT,RUPTURE,DISPERSE,MOVABLE,
ENACTMENT,RUSTY,DISPLACE,MYSELF>,
ENCLOSE,SAG,DISPLACEMENT,NAIVE,
ENCOMPASS,SANK,DISPOSE,NAME,
ENDLESS,SAP,DISPROVE,NEED,
ENDORSE,SCANT,DISPUTE,NERVOUS,
ENDURANCE,SCAPEGOAT,DISREGARD,NEUTRAL,
ENDURE,SCAR,DISRUPT,NOMINAL,
ENERGETIC,SCARCE,DISSOLVE,NOTE,
ENERGIZE,SCARCELY,DISTRACT,NOTICE,
ENERGY,SCARE,DISTRIBUTE,OBEY,
ENFORCE,SCARED,DISTRIBUTION,OBSERVATION,
ENFORCEMENT,SCRAMBLE,DISTURB,OBSERVE,
ENGULF,SCRATCH,DISTURBANCE,OBSERVER,
ENHANCE,SCRAWL,DIVE,OCCUR,
ENORMOUS,SENTIMENT,DIVER,OCCURRENCE,
ENRICH,SENTIMENTAL,DIVERT,OFFER,
ENRICHMENT,SERVE,DIVIDE,OFFSET,
ENSURE,SERVITUDE,DIVORCE,OMISSION,
ENTERPRISE,SHABBY,DO,OMIT,
ENTHUSIASTIC,SHALLOW,DOER,OPPORTUNE,
ENTIRE,SHIFT,DOMINATE,OPTIMISTIC,
ENTITLE,SHIRK,DOMINATION,ORDER,
EQUAL,SHOCK,DONATE,OUTLIVE,
EQUILIBRIUM,SHODDY,DOTE,OUTLOOK,
EQUIP,SHORT,DOUBLE,OVERFLOW,
ERECT,SHORTAGE,DRAG,OVERLOOK,
ESCAPE,SHORTSIGHTED,DRANK,PAINT,
ESSENCE,SHRANK,DRAW,PANIC,
ESSENTIAL,SHRINK,DRESS,PARK,
ESTABLISH,SHRUNK,DRILL,PASS,
ETERNAL,SHY,DRINK,PASSENGER,
EVER,SHYNESS,DRIVE,PASSION,
EVERLASTING,SICK,DRIVER,PASSIONATE,
EVERY,SICKLY,DROP,PASSIVE,
EVIDENCE,SICKNESS,DROVE,PATIENT,
EXACT,SILLY,DUMP,PEACE,
EXCEED,SIMPLISTIC,DUPLICATION,PEACEFUL,
EXCEL,SINK,DYNAMIC,PEND,
EXCLUDE,SLAVE,EARN,PERCEIVE,
EXCLUSION,SLEAZY,EAT,PERCEPTION,
EXCLUSIVE,SLENDER,ECONOMIZE,PERMISSION,
EXCUSE,SLEPT,EDUCATE,PERMIT,
EXECUTION,SLIGHT,EFFECT,PIECE,
EXECUTIVE,SLIM,EFFECTIVE,PITY,
EXERCISE,SLOPPY,EFFECTIVENESS,PLACID,
EXERT,SLOTH,EFFICACY,PLEA,
EXPAND,SLOTHFUL,EFFORT,PLEAD,
EXPANSE,SLUG,ELABORATE,PLUNGE,
EXPANSION,SLUGGISH,ELEVATE,POISE,
EXPERIENCE,SMALL,ELIMINATE,PONDER,
EXPERT,SOFT,ELIMINATION,POOR,
EXPLOIT,SORROW,EMBARRASS,POSE,
EXPLOSION,SORRY,EMBELLISH,POVERTY,
EXPLOSIVE,SPEECHLESS,EMBRACE,PRECARIOUS,
EXTEND,SPEND,EMERGE,PREDICT,
EXTENSION,SPLIT,EMPHATIC,PREFER,
EXTENSIVE,SPORADIC,EMPOWER,PRESS,
EXTINGUISH,STAGGER,EMPTY,PRESUME,
EXTREME,STALE,ENACT,PRESUMPTION,
FACE,STALL,ENACTMENT,PRISONER,
FACILITATE,STARVATION,ENCLOSE,PROJECT,
FACILITY,STARVE,ENCOURAGE,PROMISE,
FACULTY,STICK,ENCOURAGEMENT,PROPOSE,
FAST,STRAGGLE,END,PROSPER,
FATE,STRAGGLER,ENDEAR,PROVE,
FATHOM,STRICKEN,ENDEAVOR,PUT,
FEAR,STRIFE,ENDOW,PUZZLEMENT,
FEARLESS,STUMBLE,ENERGETIC,QUANDARY,
FEASIBLE,SUBJECTION,ENERGIZE,QUENCH,
FEDERATION,SUBJUGATE,ENFORCE,QUIET,
FEED,SUBJUGATION,ENGAGE,QUIT,
FELLOWSHIP,SUBMISSIVE,ENGULF,RADIATE,
FENCE,SUBMIT,ENRICH,RAPT,
FERVENT,SUBORDINATE,ENROLL,REACT,
FERVOR,SUBSERVIENCE,ENTER,REACTION,
FEW,SUBTLE,ENTERPRISE,REACTIONARY,
FIERY,SUCCUMB,ENTERTAIN,REALIZATION,
FIGHT,SUCKER,ENTRANCE,REALIZE,
FIGHTER,SUFFER,ENTRUST,RECALL,
FILL,SUFFERER,ENVISION,RECEDE,
FINAL,SUFFOCATE,EQUIP,RECEIVE,
FINE,SUNK,ERADICATE,RECEIVER,
FIRE,SUNKEN,ERASE,RECOGNIZE,
FIRM,SUPERFICIAL,ERECT,REFER,
FIRMNESS,SUPPORT,ERR,REFLECT,
FIST,SURRENDER,ESCAPE,REFLECTION,
FITNESS,SURROUND,ESTABLISH,REFLEX,
FIX,SUSCEPTIBLE,EVADE,REGARD,
FLAIR,TEMPORARY,EVALUATE,REGISTER,
FLEET,TENDER,EVALUATION,REGISTRANT,
FLEW,TENSION,EVIDENCE,REGRESS,
FLOOD,TENTATIVE,EXACT,REGRESSION,
FLOOR,THIN,EXAMINATION,REGRET,
FLOURISH,TIMID,EXAMINE,RELAPSE,
FLY,TINY,EXCEED,RELATIVE,
FOCAL,TIRE,EXCEL,RELAX,
FORBID,TIRED,EXCHANGE,RELIEF,
FORCE,TRAMP,EXCITE,RELIEVE,
FOREMOST,TREMBLE,EXCLUDE,RELINQUISH,
FORESIGHT,TRIFLE,EXCLUSION,RELISH,
FOREVER,TRIVIAL,EXECUTION,RELUCTANT,
FORMATION,UNABLE,EXERCISE,RELY,
FORMIDABLE,UNACCUSTOMED,EXERT,REMAIN,
FORT,UNARM,EXHIBIT,REMEMBER,
FORTIFY,UNASSURED,EXILE,REPLY,
FORTITUDE,UNAWARE,EXPAND,REPOSE,
FORTUNE,UNCERTAIN,EXPANSION,REQUEST,
FOUGHT,UNCERTAINTY,EXPEDITION,RESENT,
FOUND,UNDECIDED,EXPEL,RESENTMENT,
FOUNDATION,UNDEPENDABILITY,EXPEND,RESIDENT,
FOUNDER,UNDEPENDABLE,EXPERIMENT,RESIGN,
FRAME,UNEASY,EXPERIMENTAL,RESPECT,
FREE,UNEMPLOYED,EXPLAIN,RESPOND,
FRUITFUL,UNFAITHFUL,EXPLANATION,RESPONSE,
FRUSTRATE,UNFAMILIAR,EXPLOIT,REST,
FUCK,UNFINISHED,EXPLORATION,RESTRICT,
FULFILL,UNFIT,EXPLORE,REVEAL,
FULFILLMENT,UNFORTUNATE,EXPLORER,RIPEN,
FULL,UNGUARDED,EXPLOSION,ROOT,
FUNCTION,UNHEALTHY,EXPLOSIVE,ROT,
FUNDAMENTAL,UNINFORMED,EXPOSE,RUGGED,
FURTHER,UNLUCKY,EXPRESS,RUIN,
GAIN,UNPREPARED,EXPRESSION,SAD,
GALL,UNRELIABILITY,EXTEND,SADNESS,
GALLANT,UNRELIABLE,EXTERMINATE,SAG,
GAME,UNSCRUPULOUS,EXTINGUISH,SANCTION,
GANG,UNSOUND,EXTRAPOLATE,SATISFACTION,
GENERAL,UNSOUNDNESS,EXTRAPOLATION,SATISFY,
GENIUS,UNSTABLE,EYE,SAVOR,
GET,UNSTEADINESS,FABRICATE,SAW,
GIANT,UNSTEADY,FACE,SCALD,
GIFTED,UNSUCCESSFUL,FAMILIARIZE,SCAR,
GIGANTIC,UNSURE,FAN,SCARE,
GLARE,UNSURENESS,FAST,SCARED,
GLIMMER,UNTRAINED,FATHOM,SEAT,
GLOAT,UPSET,FEAST,SEE,
GLORIFY,VACILLATE,FEIGN,SEEN,
GO,VAGABOND,FEINT,SENSE,
GOD,VAGRANT,FENCE,SENTIMENT,
GODDESS,VAGUE,FESTIVAL,SENTIMENTAL,
GODLIKE,VAGUENESS,FETCH,SERENE,
GODLINESS,VICTIM,FIDGET,SET,
GONE,VULNERABILITY,FIGHT,SETTLE,
GOVERN,VULNERABLE,FIGHTER,SHAME,
GRAND,WANTON,FIGURE,SHIVER,
GRANDEUR,WASTE,FILL,SHOCK,
GRANT,WAVER,FIND,SHRANK,
GRAPPLE,WAYWARD,FINE,SHRINK,
GRASP,WEAK,FINISH,SHRUNK,
GRAVITATIONAL,WEAKEN,FIRE,SHUDDER,
GRAVITY,WEAKLY,FIX,SHY,
GREAT,WEAKNESS,FLASH,SICK,
GREATNESS,WEARINESS,FLAUNT,SICKLY,
GRIND,WEARISOME,FLED,SICKNESS,
GRIP,WEARY,FLEE,SIGH,
GROUND,WEE,FLEW,SIGHT,
GROW,WHINE,FLIRT,SIGNIFY,
GROWER,WIND,FLOOR,SILENT,
GROWN,WISH,FLOW,SINK,
GROWTH,WISHFUL,FLOWN,SITTER,
GRUFF,WITHDRAW,FLUNG,SLEEP,
GUARANTEE,WITHDRAWN,FLY,SLEPT,
GUARD,WITHDREW,FOLLOW,SLIDE,
GUARDIAN,WITHER,FOOL,SLIP,
GUERRILLA,WORN,FORCE,SLUMP,
GUIDANCE,WORRIER,FORM,SMELL,
GUIDE,WORRY,FORMULATE,SMILE,
GUILD,WORSEN,FORTIFY,SMITTEN,
GUSTO,WOUND,FOSTER,SNOW,
HALT,YIELD,FOUGHT,SOFT,
HAMPER,,FOUND,SOLD,
HAND,,FRAME,SORROW,
HANDLE,,FREE,SORRY,
HARBOR,,FRET,SOUND,
HARD,,FRIGHTEN,SPARKLE,
HARDY,,FROLIC,SPECTATOR,
HARM,,FUCK,SPEECHLESS,
HARMFUL,,FUMBLE,SPEND,
HARSH,,FUNCTION,SPLIT,
HAUGHTY,,FURNISH,SPRAIN,
HEAD,,FUSS,SPRAWL,
HEADQUARTERS,,GAIN,SQUAT,
HEAL,,GAMBLE,STAGGER,
HEALTH,,GARNISH,STAIN,
HEALTHY,,GATHER,STAND,
HEART,,GAUGE,START,
HEARTILY,,GENERALIZE,STARTLE,
HEAT,,GENERATE,STARVE,
HEAVY,,GESTURE,STATIONARY,
HEIGHTEN,,GET,STEM,
HERD,,GIVE,STICK,
HERO,,GLEAN,STOOD,
HEROIC,,GLOAT,STUFF,
HEROISM,,GLORIFY,STUMBLE,
HIGH,,GO,SUBJUGATE,
HINDER,,GONE,SUBMIT,
HIRE,,GRAB,SUBORDINATE,
HIT,,GRAPPLE,SUCCUMB,
HOLD,,GRASP,SUFFER,
HOLDER,,GRATIFY,SUFFERER,
HUGE,,GRIEVE,SUFFOCATE,
HURT,,GRIND,SUGGEST,
IMMENSE,,GRIP,SUNK,
IMMOVABLE,,GROOM,SUNKEN,
IMPACT,,GROUND,SUPPORT,
IMPAIR,,GROUP,SUPPOSE,
IMPEDE,,GROW,SURPRISE,
IMPEL,,GROWER,SURRENDER,
IMPERIAL,,GROWL,SURROUND,
IMPERIALIST,,GUARD,SWEAT,
IMPERVIOUS,,GUERRILLA,SWOLLEN,
IMPETUS,,GUESS,SWOON,
IMPLEMENT,,GUIDANCE,SYMBOLIZE,
IMPLEMENTATION,,GUIDE,TASTE,
IMPOSE,,GYMNAST,TEAR,
IMPRESS,,GYMNASTIC,TEND,
IMPRESSIVE,,HALT,TENDENCY,
IMPROVE,,HAMPER,TIMID,
IMPROVEMENT,,HAND,TINGLE,
INCESSANT,,HANDLE,TIRE,
INCLUDE,,HANG,TIRED,
INCREASE,,HARASS,TOUCH,
INDEPENDENCE,,HARD,TRANQUIL,
INDEPENDENT,,HARM,TRAUMA,
INDISPENSABILITY,,HARMONIZE,TREMBLE,
INDISPENSABLE,,HARNESS,TROUBLE,
INDISPUTABLE,,HARVEST,TRUST,
INDOMITABLE,,HASTE,TRUSTWORTHY,
INDUCE,,HASTEN,TRY,
INDUSTRIOUS,,HAUNT,TUMBLE,
INEVITABILITY,,HAVE,TURN,
INEVITABLE,,HAZARD,TWITCH,
INFALLIBILITY,,HEAD,UNABLE,
INFALLIBLE,,HEAP,UNAWARE,
INFANTRY,,HEAT,UNCONSCIOUS,
INFILTRATION,,HEATER,UNDECIDED,
INFINITE,,HELP,UNDERGO,
INFLUENCE,,HELPFUL,UNDERGONE,
INFLUENTIAL,,HERD,UNDERWENT,
INFRINGEMENT,,HIDE,UNDONE,
INHERENT,,HIGHLIGHT,UNNERVE,
INHIBIT,,HIRE,UPSET,
INHIBITION,,HIT,UTTER,
INITIATE,,HOBBLE,VICTIM,
INITIATIVE,,HOLD,WAIT,
INJUNCTION,,HOP,WANDER,
INNER,,HORRIFY,WANDERER,
INNUMERABLE,,HUG,WANE,
INSIST,,HUMILIATE,WANT,
INSISTENCE,,HUNG,WIDOW,
INSISTENT,,HUNTER,WILT,
INSPIRE,,HURRY,WINCE,
INSTITUTION,,HURT,WIND,
INSTITUTIONAL,,HURTLE,WITHER,
INSTRUCT,,HUSTLE,WORN,
INSTRUCTION,,IDOLIZE,WORRIER,
INSTRUCTOR,,IGNORE,WORRY,
INSTRUMENTAL,,ILLUMINATE,WORSEN,
INTACT,,ILLUSTRATE,WOUND,
INTEGRATION,,IMITATION,YAWN,
INTEGRITY,,IMPAIR,,
INTELLECT,,IMPEDE,,
INTELLECTUAL,,IMPEL,,
INTELLIGENCE,,IMPLEMENT,,
INTELLIGENT,,IMPLEMENTATION,,
INTENSE,,IMPLICATE,,
INTENSIFY,,IMPLORE,,
INTENSITY,,IMPORT,,
INTENSIVE,,IMPOSE,,
INTERFERE,,IMPRESS,,
INTERFERENCE,,IMPRISON,,
INTERNAL,,IMPROVE,,
INTERVENTION,,IMPROVEMENT,,
INTIMIDATE,,INAUGURATE,,
INUNDATE,,INCREASE,,
INVARIABLE,,INCUR,,
INVARIABLY,,INDUCE,,
INVENTORY,,INDULGE,,
INVINCIBLE,,INFECT,,
INVITE,,INFER,,
INVOLVE,,INFEST,,
INVULNERABLE,,INFILTRATION,,
IRON,,INFLAME,,
IRREFUTABLE,,INFLICT,,
ISOLATE,,INFLUENCE,,
ISSUE,,INFORM,,
JAIL,,INFRINGEMENT,,
JAR,,INFURIATE,,
JERK,,INHIBIT,,
JOIN,,INITIATE,,
JOINTLY,,INITIATIVE,,
JUDGE,,INNOVATE,,
JUDGMENT,,INQUIRE,,
JURISDICTION,,INQUIRY,,
JUROR,,INSERT,,
JURY,,INSINUATE,,
KEEN,,INSIST,,
KEEP,,INSISTENCE,,
KEEPER,,INSPECT,,
KICK,,INSPECTION,,
KILL,,INSPIRE,,
KILLER,,INSTALL,,
KNIFE,,INSTALLATION,,
KNOCK,,INSTITUTE,,
KNOWLEDGE,,INSTRUCT,,
LABOR,,INSTRUCTION,,
LANDLORD,,INSTRUMENTAL,,
LARGE,,INSULT,,
LAST,,INTEND,,
LAUNCH,,INTENSE,,
LAY,,INTENSIFY,,
LEAD,,INTENSITY,,
LEAGUE,,INTENSIVE,,
LEGION,,INTENT,,
LEGISLATION,,INTENTION,,
LEGISLATIVE,,INTERCEDE,,
LEGISLATOR,,INTERCOURSE,,
LENGTH,,INTERFERE,,
LET,,INTERFERENCE,,
LEVEL,,INTERPOSE,,
LIBERATION,,INTERPRET,,
LIEUTENANT,,INTERPRETATION,,
LIFT,,INTERRUPT,,
LIGHTNING,,INTERVENE,,
LIMIT,,INTERVENTION,,
LIMITLESS,,INTIMIDATE,,
LION,,INTOXICATE,,
LIONESS,,INTRODUCE,,
LIQUIDATE,,INTRUDE,,
LIQUIDATION,,INUNDATE,,
LIVE,,INVENT,,
LIVELY,,INVENTOR,,
LOAD,,INVEST,,
LOCK,,INVESTIGATE,,
LONG,,INVESTIGATION,,
LONGEVITY,,INVESTMENT,,
LOOK,,INVESTOR,,
LOT,,INVITATION,,
LOUD,,INVITE,,
LOVE,,IRON,,
LOWER,,ISOLATE,,
LUCK,,ISSUE,,
MAGNIFICENT,,JAIL,,
MAGNIFY,,JAR,,
MAGNITUDE,,JEER,,
MAIN,,JERK,,
MAINTAIN,,JEST,,
MAJOR,,JOIN,,
MAJORITY,,JOURNEY,,
MAKE,,JUDGE,,
MANAGE,,JUMP,,
MANAGEABLE,,KEEP,,
MANAGEMENT,,KICK,,
MANAGER,,KIDNAP,,
MANAGERIAL,,KILL,,
MANEUVER,,KILLER,,
MANIPULATE,,KISS,,
MANLY,,KNOCK,,
MANPOWER,,KNOW,,
MANUFACTURE,,LABOR,,
MANUFACTURER,,LAMENT,,
MANY,,LAND,,
MAR,,LAUGH,,
MARCH,,LAUNCH,,
MARCHER,,LAY,,
MARK,,LEAD,,
MASCULINE,,LEAP,,
MASS,,LEARN,,
MASSIVE,,LEAVE,,
MASTER,,LECTURE,,
MASTERFUL,,LEFT,,
MASTERY,,LEND,,
MATCH,,LENT,,
MATERIAL,,LETTER,,
MATTER,,LEVEL,,
MATURE,,LIBERATE,,
MATURITY,,LIBERATION,,
MAXIMIZATION,,LICK,,
MAXIMUM,,LIFT,,
MAYOR,,LIGHT,,
MEASURE,,LIMIT,,
MENACE,,LINK,,
MERCILESS,,LIQUIDATE,,
MERIT,,LIQUIDATION,,
METHODICAL,,LIT,,
MIGHT,,LIVELY,,
MIGHTY,,LOAD,,
MILITARY,,LOAN,,
MILITIA,,LOCATE,,
MINE,,LOCK,,
MINIMIZE,,LOOK,,
MINISTRY,,LOVE,,
MISSILE,,LOWER,,
MOBILE,,LURE,,
MODIFY,,LURK,,
MOLD,,LYING,,
MOMENTUM,,MAINTAIN,,
MONITOR,,MAKE,,
MONOPOLY,,MANAGE,,
MONSTER,,MANAGEMENT,,
MONSTROUS,,MANEUVER,,
MONUMENT,,MANGLE,,
MORE,,MANIPULATE,,
MOST,,MANUFACTURE,,
MOVE,,MAR,,
MOVEMENT,,MARCH,,
MOVER,,MARCHER,,
MUCH,,MARK,,
MUFFLE,,MARKET,,
MULTIPLE,,MARVEL,,
MULTIPLICATION,,MASSACRE,,
MULTIPLY,,MASTER,,
MURDER,,MATCH,,
MUSCLE,,MATRICULATE,,
MUSCULAR,,MAXIMIZE,,
MUSTER,,MEAN,,
NAVAL,,MEANT,,
NAVY,,MEASURE,,
NEAR,,MEASUREMENT,,
NECESSARY,,MEDDLE,,
NECESSITATE,,MEDIATE,,
NECESSITY,,MEET,,
NERVE,,MENACE,,
NETWORK,,MEND,,
NEUTRALIZE,,MESH,,
NEW,,MILL,,
NIMBLE,,MIND,,
NOBLE,,MINIMIZE,,
NONCHALANT,,MISBEHAVE,,
NORM,,MISBEHAVIOR,,
NOTABLE,,MISCHIEF,,
NUCLEI,,MISCHIEVOUS,,
NUCLEUS,,MISHANDLE,,
NUMBER,,MISINFORM,,
NUMEROUS,,MISLEAD,,
OBJECTIVE,,MISREPRESENT,,
OBSTACLE,,MISSIONARY,,
OBSTRUCT,,MISTAKEN,,
OBTAIN,,MISTRUST,,
OCCASION,,MIX,,
OCCUPY,,MOAN,,
OFFENSIVE,,MOBILE,,
OFFER,,MOBILIZE,,
OFFICIAL,,MOCK,,
OFFICIATE,,MODIFICATION,,
OFTEN,,MODIFY,,
OMINOUS,,MOLD,,
ONCE,,MOLEST,,
OPERATE,,MOTION,,
OPERATION,,MOTIVATE,,
OPERATIONAL,,MOTIVATED,,
OPERATIVE,,MOTIVATION,,
OPPOSE,,MOTIVE,,
ORDER,,MOUNT,,
ORDINANCE,,MOVE,,
ORGANIZATION,,MOVEMENT,,
ORGANIZE,,MOVER,,
ORIGINATE,,MUDDLE,,
OUST,,MUFFLE,,
OUTFIT,,MULTIPLY,,
OUTLIVE,,MURDER,,
OUTPUT,,MUSTER,,
OUTREACH,,NAG,,
OUTRUN,,NAIL,,
OUTSTANDING,,NEAR,,
OVER,,NEEDLE,,
OVERCAME,,NEGOTIATE,,
OVERCOME,,NEUTRALIZE,,
OVERHAUL,,NOMINATE,,
OVERLYING,,NOURISH,,
OVERPOWER,,NURSE,,
OVERRUN,,NURTURE,,
OVERSEER,,OBEDIENCE,,
OVERTHROW,,OBEDIENT,,
OVERWHELM,,OBJECT,,
OWN,,OBSTRUCT,,
OWNER,,OBTAIN,,
OWNERSHIP,,OCCASION,,
PAINSTAKING,,OFFEND,,
PANDEMONIUM,,OFFENSIVE,,
PARDON,,OFFER,,
PARLIAMENT,,OPEN,,
PART,,OPERATE,,
PARTNER,,OPERATOR,,
PARTNERSHIP,,OPPOSE,,
PASS,,OPPRESS,,
PASSION,,ORDER,,
PASSIONATE,,ORGANIZE,,
PATIENCE,,ORIGINATE,,
PATIENT,,OSTRACIZE,,
PATROL,,OUST,,
PATRON,,OUTFIT,,
PATRONAGE,,OUTLINE,,
PEAK,,OUTPUT,,
PENETRATE,,OUTREACH,,
PENETRATION,,OUTRUN,,
PERFECT,,OUTWIT,,
PERMANENT,,OVERCAME,,
PERMISSION,,OVERCOME,,
PERMIT,,OVERHAUL,,
PERPETUAL,,OVERPOWER,,
PERPETUATE,,OVERRUN,,
PERSEVERANCE,,OVERTHROW,,
PERSEVERE,,OVERTURN,,
PERSIST,,OWN,,
PERSISTENCE,,PACE,,
PERSISTENT,,PACK,,
PERSUADE,,PAINT,,
PHYSICAL,,PAMPER,,
PICK,,PARADE,,
PISTON,,PARDON,,
PITILESS,,PART,,
PLAGUE,,PARTAKE,,
PLAN,,PARTICIPANT,,
PLANT,,PARTICIPATE,,
PLEASE,,PARTICIPATION,,
PLEASED,,PARTOOK,,
PLENTIFUL,,PASS,,
PLENTY,,PATCH,,
PLOT,,PATRONIZE,,
POIGNANT,,PAY,,
POINT,,PEACE,,
POISE,,PEEL,,
POLICY,,PENETRATE,,
POPULAR,,PENETRATION,,
POSSE,,PERFECT,,
POSSESS,,PERFORM,,
POSSIBLE,,PERFORMANCE,,
POTENCY,,PERFORMER,,
POTENT,,PERPETUATE,,
POTENTIAL,,PERSECUTE,,
POTENTIALITY,,PERSEVERANCE,,
POUND,,PERSEVERE,,
POWER,,PERSIST,,
POWERFUL,,PERSISTENCE,,
PRECAUTION,,PERSISTENT,,
PRECIOUS,,PERSUADE,,
PREDOMINANT,,PETITION,,
PREDOMINATE,,PETITIONER,,
PREEMINENT,,PICK,,
PREPARE,,PIECE,,
PRESERVE,,PILE,,
PRESIDE,,PINCH,,
PRESIDENCY,,PIONEER,,
PRESIDENTIAL,,PIT,,
PRESS,,PITCH,,
PRESSURE,,PLACE,,
PRESTIGE,,PLAN,,
PREVAIL,,PLANE,,
PREVALENT,,PLANT,,
PREVENT,,PLAY,,
PREVENTION,,PLEASE,,
PREVENTIVE,,PLEASED,,
PRIDE,,PLEDGE,,
PRIMARY,,PLOD,,
PRINCIPAL,,PLOT,,
PRIORITY,,PLOW,,
PRIVILEGE,,PLUG,,
PRIVILEGED,,POINT,,
PRIZE,,POLISH,,
PROACTIVE,,POLLUTE,,
PROBE,,POST,,
PROCLAIM,,POSTPONE,,
PROCLAMATION,,POUND,,
PROCTOR,,POUR,,
PROCURE,,PRACTICE,,
PROCUREMENT,,PRAISE,,
PROD,,PRANCE,,
PRODUCE,,PREACH,,
PRODUCTIVE,,PREPARATION,,
PROFICIENT,,PREPARE,,
PROFIT,,PRESENT,,
PROFITABLE,,PRESERVE,,
PROFOUND,,PRESIDE,,
PROGRESS,,PRESS,,
PROHIBIT,,PRESSURE,,
PROHIBITION,,PRETEND,,
PROHIBITIVE,,PREVAIL,,
PROJECT,,PREVENT,,
PROLONG,,PRINT,,
PROMINENCE,,PROACTIVE,,
PROMINENT,,PROBE,,
PROMOTE,,PROCEED,,
PROMOTION,,PROCESS,,
PROMPT,,PROCRASTINATE,,
PROOF,,PROCURE,,
PROPONENT,,PRODUCE,,
PROPRIETOR,,PROFESS,,
PROSECUTION,,PROFFER,,
PROTECT,,PROGRAM,,
PROTECTION,,PROGRESS,,
PROTECTIVE,,PROHIBIT,,
PROTECTOR,,PROHIBITION,,
PROUD,,PROJECT,,
PROVE,,PROLONG,,
PROVIDE,,PROMOTE,,
PROVIDENCE,,PROPOSAL,,
PROVOKE,,PROPOSE,,
PROWESS,,PROSECUTE,,
PULL,,PROSECUTION,,
PUNISH,,PROTECT,,
PURPOSE,,PROTEST,,
PURPOSEFUL,,PROVE,,
PURSUE,,PROVOKE,,
PUSH,,PROWL,,
PUT,,PUBLISH,,
QUALIFY,,PULL,,
QUEST,,PUMP,,
QUIET,,PUNCH,,
RADIANCE,,PUNISH,,
RADICAL,,PURCHASE,,
RAGE,,PURIFY,,
RAID,,PURPOSE,,
RAISE,,PURR,,
RAMPANT,,PURSUE,,
RATTLE,,PURSUER,,
RAVE,,PURSUIT,,
RAW,,PUSH,,
REACH,,PUT,,
READINESS,,QUARREL,,
READY,,QUEST,,
REAFFIRM,,QUIBBLE,,
REALIZE,,QUICK,,
REASON,,QUICKEN,,
REASSURANCE,,QUIET,,
REASSURE,,RACE,,
REBEL,,RACER,,
REBELLION,,RADICAL,,
REBUILD,,RAID,,
RECOMMEND,,RAISE,,
RECOMMENDATION,,RAKE,,
RECONSTRUCT,,RALLY,,
RECONSTRUCTION,,RAMBLE,,
RECOVER,,RAPID,,
RECOVERY,,RATE,,
RECRUIT,,RATION,,
RECRUITMENT,,RAVAGE,,
RECURRENT,,RAVE,,
REDEEM,,REACH,,
REDUCE,,REACTIVE,,
REESTABLISH,,REALIZE,,
REGAIN,,REAP,,
REGIME,,REAR,,
REGIMENT,,REASON,,
REGULAR,,REBEL,,
REGULATE,,REBUFF,,
REGULATION,,REBUILD,,
REINFORCE,,REBUKE,,
REITERATE,,REBUT,,
REJECT,,RECLAIM,,
REJECTION,,RECLINE,,
RELENTLESS,,RECOIL,,
RELIABILITY,,RECONSTRUCT,,
RELIABLE,,RECONSTRUCTION,,
RELIEVE,,RECREATION,,
REMARKABLE,,RECRUIT,,
REMARKABLY,,RECRUITMENT,,
REMOVAL,,REDEEM,,
REMOVE,,REESTABLISH,,
RENDER,,REFINE,,
RENEW,,REFORM,,
REPAIR,,REFRAIN,,
REPEL,,REFUND,,
REPLENISH,,REGAIN,,
REPUDIATE,,REGULATE,,
REPULSE,,REINFORCE,,
REQUIRE,,REINSTATE,,
REQUIREMENT,,REITERATE,,
RESERVE,,REJECT,,
RESIST,,REJECTION,,
RESISTANCE,,REJOICE,,
RESOLUTE,,RELEASE,,
RESOLUTION,,REMODEL,,
RESOLVE,,REMOVAL,,
RESOLVED,,REMOVE,,
RESOUND,,RENOUNCE,,
RESOURCE,,RENOVATE,,
RESOURCEFUL,,REORGANIZATION,,
RESOURCEFULNESS,,REPAID,,
RESTORE,,REPAIR,,
RESTRAIN,,REPAY,,
RESTRAINT,,REPEAT,,
RESTRICT,,REPEL,,
RESUMPTION,,REPENT,,
RETAIN,,REPLACE,,
RETENTION,,REPLENISH,,
REVENUE,,REPORT,,
REVIVE,,REPRESENT,,
REVOLUTIONARY,,REPRESS,,
REWARD,,REPROACH,,
RICH,,REPUDIATE,,
RIGHT,,REPULSE,,
RIP,,REQUIRE,,
