Virtue,Vice,Need,Means,Persist,Ought,IPAdj,IndAdj,RCEthic,RspTot,SklOth,Class_related
GLORIOUS,FOOLISHNESS,,,,,,IMMORAL,,,,
GLORY,FORCE,,,,,,IMMORTAL,,,,
GODLINESS,FOREIGN,,,,,,IMMOVABLE,,,,
GOOD,FORGETFULNESS,,,,,,IMPARTIAL,,,,
GOODNESS,FORMIDABLE,,,,,,IMPATIENT,,,,
GRACE,FRACTURE,,,,,,IMPERATIVE,,,,
GRACEFUL,FRAIL,,,,,,IMPERFECT,,,,
GRACIOUS,FRONT,,,,,,IMPERVIOUS,,,,
GRAND,FRUITLESS,,,,,,IMPETUOUS,,,,
GREATNESS,FUSSY,,,,,,IMPRECISION,,,,
GROWN,FUTILITY,,,,,,IMPROPER,,,,
GUIDANCE,GHASTLY,,,,,,IMPULSIVE,,,,
HANDSOME,GRAVE,,,,,,IMPURE,,,,
HANDY,GRIM,,,,,,INADEQUATE,,,,
HARD,GROTESQUE,,,,,,INANE,,,,
HARDY,GUILTY,,,,,,INCOMPETENT,,,,
HARMLESS,HACK,,,,,,INCONVENIENT,,,,
HARMONY,HAPLESS,,,,,,INCURABLE,,,,
HEALTHFUL,HARD,,,,,,INDECENT,,,,
HEALTHY,HARDSHIP,,,,,,INDESCRIBABLE,,,,
HEAVENLY,HARM,,,,,,INDETERMINABLE,,,,
HELP,HARMFUL,,,,,,INDETERMINATE,,,,
HELPFUL,HARSH,,,,,,INDICATIVE,,,,
HEROIC,HAVOC,,,,,,INDIFFERENT,,,,
HEROISM,HAZARD,,,,,,INDOMITABLE,,,,
HIT,HAZARDOUS,,,,,,INDUSTRIOUS,,,,
HOLY,HEAD,,,,,,INEFFECTIVE,,,,
HONEST,HECTIC,,,,,,INEFFECTUAL,,,,
HONOR,HEDONISTIC,,,,,,INEXPENSIVE,,,,
HONORABLE,HELPLESSNESS,,,,,,INFAMOUS,,,,
HOSPITABLE,HESITANT,,,,,,INGENIOUS,,,,
HUMANITARIAN,HESITATION,,,,,,INHUMANE,,,,
HUMBLE,HIDEOUS,,,,,,INQUISITIVE,,,,
HUMILITY,HINDRANCE,,,,,,INSANE,,,,
IDEAL,HOLE,,,,,,INSENSIBLE,,,,
IMAGINATIVE,HOMELY,,,,,,INSISTENT,,,,
IMMACULATE,HORRIBLE,,,,,,INSOLENT,,,,
IMPORTANT,HORRID,,,,,,INSPIRATIONAL,,,,
IMPRESSIVE,HOT,,,,,,INSTINCTIVE,,,,
IMPROVE,HURTFUL,,,,,,INTRICATE,,,,
IMPROVEMENT,HYPOCRISY,,,,,,INUNDATED,,,,
INDEPENDENT,HYPOCRITE,,,,,,INVALID,,,,
INDISPENSABILITY,HYSTERIA,,,,,,INVALUABLE,,,,
INDISPUTABLE,IDIOT,,,,,,INVINCIBLE,,,,
INFALLIBILITY,IDIOTIC,,,,,,INVISIBLE,,,,
INFALLIBLE,IDLE,,,,,,INVOLUNTARY,,,,
INFLUENCE,IDLENESS,,,,,,INVULNERABLE,,,,
INFLUENTIAL,IGNOBLE,,,,,,JITTERY,,,,
INGENIOUS,IGNORANCE,,,,,,JOBLESS,,,,
INNOCENCE,IGNORANT,,,,,,JOLLY,,,,
INNOCENT,ILLEGAL,,,,,,JOYFUL,,,,
INNOVATIVE,ILLEGALITY,,,,,,JUBILANT,,,,
INSPIRE,ILLNESS,,,,,,JUMPY,,,,
INTEGRITY,IMMORAL,,,,,,LAME,,,,
INTELLECT,IMMORALITY,,,,,,LAMENTABLE,,,,
INTELLECTUAL,IMPATIENT,,,,,,LAVISH,,,,
INTELLIGENCE,IMPEDIMENT,,,,,,LAWFUL,,,,
INTELLIGENT,IMPERFECT,,,,,,LAWLESS,,,,
INVINCIBLE,IMPERSONAL,,,,,,LIABLE,,,,
INVITE,IMPETUOUS,,,,,,LIFELESS,,,,
INVULNERABLE,IMPROPER,,,,,,LIFELONG,,,,
JUSTIFIABLY,IMPULSIVE,,,,,,LIMP,,,,
JUSTIFICATION,IMPURE,,,,,,LOWLY,,,,
KEEN,IMPURITY,,,,,,LUCID,,,,
KIND,INABILITY,,,,,,LUCRATIVE,,,,
KINDNESS,INACCESSIBLE,,,,,,LUDICROUS,,,,
LAWFUL,INADEQUATE,,,,,,LUMINOUS,,,,
LEAD,INANE,,,,,,LUSTROUS,,,,
LEARN,INCAPABLE,,,,,,LUXURIANT,,,,
LEGITIMACY,INCOMPATIBILITY,,,,,,LUXURIOUS,,,,
LEGITIMATE,INCOMPATIBLE,,,,,,MAGICAL,,,,
LEISURE,INCORRECT,,,,,,MAJESTIC,,,,
LIBERAL,INDECENT,,,,,,MALIGNANT,,,,
LIKABLE,INDECISION,,,,,,MANAGEABLE,,,,
LOT,INDECISIVE,,,,,,MANLY,,,,
LOVELINESS,INDECISIVENESS,,,,,,MARVELOUS,,,,
LOVELY,INDEFINITE,,,,,,MASTERFUL,,,,
LOYAL,INEXACT,,,,,,MATCHLESS,,,,
LOYALTY,INFAMOUS,,,,,,MEAGER,,,,
LUCK,INFERIOR,,,,,,MEASURABLE,,,,
LUCKILY,INFILTRATION,,,,,,MEDIOCRE,,,,
LUCKY,INFRINGEMENT,,,,,,MEEK,,,,
LUXURY,INGRATITUDE,,,,,,MELANCHOLY,,,,
MAGNIFICENCE,INHIBITION,,,,,,MELLOW,,,,
MAGNIFICENT,INHUMANE,,,,,,MEMORABLE,,,,
MAJESTIC,INJURIOUS,,,,,,MENIAL,,,,
MAJESTY,INSANE,,,,,,MERITORIOUS,,,,
MANLY,INSECURE,,,,,,MERRY,,,,
MARVELOUS,INSECURITY,,,,,,METICULOUS,,,,
MATURE,INSIDIOUS,,,,,,MILD,,,,
MEANINGFUL,INSIGNIFICANT,,,,,,MINDFUL,,,,
MERCIFUL,INSTABILITY,,,,,,MINT,,,,
MERCY,INSTABLE,,,,,,MIRACULOUS,,,,
MERIT,INSUFFICIENT,,,,,,MISCHIEVOUS,,,,
MERITORIOUS,INTERFERENCE,,,,,,MISINFORMED,,,,
MIGHT,INTERVENTION,,,,,,MOMENTOUS,,,,
MIGHTY,INVALID,,,,,,MONOTONOUS,,,,
MIND,INVOLVE,,,,,,MONUMENTAL,,,,
MINT,IRONIC,,,,,,MOODY,,,,
MIRACLE,IRONY,,,,,,MORALISTIC,,,,
MIRACULOUS,IRRATIONAL,,,,,,MOTIONLESS,,,,
MODERATE,IRRESPONSIBLE,,,,,,MUDDY,,,,
MODEST,LACK,,,,,,MUNDANE,,,,
MORAL,LAZY,,,,,,MURKY,,,,
MUST,LIMIT,,,,,,NASTY,,,,
NEAT,LIMITATION,,,,,,NAUGHTY,,,,
NICE,LIQUIDATION,,,,,,NAVIGABLE,,,,
NOBLE,LOSS,,,,,,NEBULOUS,,,,
NON-VIOLENCE,LOST,,,,,,NEEDY,,,,
NON-VIOLENT,LOVELESS,,,,,,NEGLIGENT,,,,
NORMAL,LUDICROUS,,,,,,NEUROTIC,,,,
NOTE,LUNATIC,,,,,,NIMBLE,,,,
NOTEWORTHY,MAD,,,,,,NOISELESS,,,,
OBJECTIVE,MADMAN,,,,,,NONCHALANT,,,,
OBLIGATION,MADNESS,,,,,,NOTABLE,,,,
OPEN,MALADJUSTED,,,,,,NOTORIOUS,,,,
OPPORTUNE,MALADJUSTMENT,,,,,,NOVICE,,,,
OPPORTUNITY,MANNER,,,,,,NUMB,,,,
OPTIMAL,MAR,,,,,,OBLIQUE,,,,
ORGANIZE,MATTER,,,,,,OBSOLETE,,,,
OUTSTANDING,MEAN,,,,,,OBSTINATE,,,,
OVERTURE,MEANINGLESS,,,,,,OBTAINABLE,,,,
OWN,MENACE,,,,,,OFFENSIVE,,,,
PALATABLE,MESS,,,,,,OPINIONATED,,,,
PALATIAL,MISBEHAVIOR,,,,,,OPPORTUNE,,,,
PARAMOUNT,MISFORTUNE,,,,,,OPPRESSIVE,,,,
PATIENCE,MISTAKE,,,,,,OPTIONAL,,,,
PATIENT,MISUSE,,,,,,OUTRAGEOUS,,,,
PEACE,MIX,,,,,,OUTRIGHT,,,,
PEACEABLE,MONOTONOUS,,,,,,OVERBEARING,,,,
PEACEFUL,MONOTONY,,,,,,OVERJOYED,,,,
PERFECT,MONSTROUS,,,,,,OVERWHELMING,,,,
PERFECTION,MUNDANE,,,,,,OVERWORKED,,,,
PERSEVERANCE,NAIVE,,,,,,PAINSTAKING,,,,
PERSISTENT,NEGATION,,,,,,PALATABLE,,,,
PERTINENT,NEGATIVE,,,,,,PALATIAL,,,,
PINNACLE,NEGLIGENCE,,,,,,PALTRY,,,,
PIOUS,NEGLIGENT,,,,,,PARALYZED,,,,
PLAUSIBLE,NONSENSE,,,,,,PARAMOUNT,,,,
PLEASANT,NOTORIOUS,,,,,,PARANOID,,,,
PLEASE,NUISANCE,,,,,,PASSE,,,,
POLITE,OBNOXIOUS,,,,,,PATHETIC,,,,
POLITENESS,ODD,,,,,,PATRIOTIC,,,,
POPULAR,OFFENSIVE,,,,,,PEACEABLE,,,,
POPULARITY,OMINOUS,,,,,,PERILOUS,,,,
POSITIVE,ORDEAL,,,,,,PERVERSE,,,,
POTENTIAL,OUTRAGEOUS,,,,,,PESSIMISTIC,,,,
POTENTIALITY,OVERSIGHT,,,,,,PETTY,,,,
POWER,PAINFUL,,,,,,PICTURESQUE,,,,
POWERFUL,PARTICULAR,,,,,,PLAYFUL,,,,
PRACTICABLE,PECULIAR,,,,,,PLEASURABLE,,,,
PRACTICAL,PENALTY,,,,,,POETIC,,,,
PRECIOUS,PERILOUS,,,,,,POIGNANT,,,,
PRECISE,PERVERSE,,,,,,POINTLESS,,,,
PRECISION,PERVERT,,,,,,POMPOUS,,,,
PREFERABLY,PEST,,,,,,PORTABLE,,,,
PREMIUM,PETTY,,,,,,POTENT,,,,
PRESTIGE,PINCH,,,,,,POWERLESS,,,,
PRETTILY,PLAGUE,,,,,,PREEMINENT,,,,
PRETTY,POLLUTION,,,,,,PREJUDICIAL,,,,
PRIME,POOR,,,,,,PREMIUM,,,,
PRINCIPLE,POVERTY,,,,,,PREPARATORY,,,,
PRIVILEGE,PRECARIOUS,,,,,,PREPOSTEROUS,,,,
PRODUCTIVE,PREDICAMENT,,,,,,PRETENTIOUS,,,,
PRODUCTIVITY,PREPOSTEROUS,,,,,,PRICELESS,,,,
PROFITABLE,PRESUMPTUOUS,,,,,,PRIMARILY,,,,
PROFOUND,PRETENTIOUS,,,,,,PRIME,,,,
PROGRESS,PRIMITIVE,,,,,,PRIVILEGED,,,,
PROGRESSIVE,PROHIBITIVE,,,,,,PRIVY,,,,
PROMINENT,PUNY,,,,,,PROACTIVE,,,,
PROMISE,QUESTIONABLE,,,,,,PRODIGIOUS,,,,
PROMPT,RADICAL,,,,,,PROFICIENT,,,,
PROMPTLY,RAGGED,,,,,,PROLIFIC,,,,
PROPER,RAMPANT,,,,,,PROPRIETARY,,,,
PROPITIOUS,RASCAL,,,,,,PROSPEROUS,,,,
PROSPERITY,RASH,,,,,,PROTECTIVE,,,,
PROTECTION,RECALCITRANT,,,,,,PRUDENT,,,,
PROVE,RECKLESS,,,,,,PUNCTUAL,,,,
PROVIDENCE,RECKLESSNESS,,,,,,PURPOSEFUL,,,,
PRUDENCE,REDUNDANCY,,,,,,QUEER,,,,
PRUDENT,REDUNDANT,,,,,,RADIANT,,,,
PUNCTUAL,REFUSE,,,,,,RASH,,,,
PURE,REGRESSION,,,,,,RECALCITRANT,,,,
PURIFICATION,REGRETTABLE,,,,,,REDUNDANT,,,,
PURIFY,REJECTION,,,,,,REGAL,,,,
PURITY,RELENTLESS,,,,,,REGARDLESS,,,,
QUAINT,REPREHENSIBLE,,,,,,REGRETTABLE,,,,
QUALIFY,REPUGNANT,,,,,,RELIABLE,,,,
QUALITY,REPULSIVE,,,,,,RELUCTANT,,,,
RATHER,RESISTANCE,,,,,,REPUGNANT,,,,
RATIONAL,RESTRICT,,,,,,RESENTFUL,,,,
REAL,RIDICULOUS,,,,,,RESOLUTE,,,,
REASONABLE,RIGID,,,,,,RESOLVED,,,,
REFINE,RIGOROUS,,,,,,RESOURCEFUL,,,,
REFINEMENT,RISKY,,,,,,RESPECTFUL,,,,
REGAL,ROTTEN,,,,,,RESPLENDENT,,,,
RELIABILITY,ROUGHNESS,,,,,,RESTFUL,,,,
RELIABLE,ROUNDABOUT,,,,,,RESTLESS,,,,
REMARKABLE,RUDE,,,,,,REVERENT,,,,
REMARKABLY,RUIN,,,,,,RIGHTEOUS,,,,
RENOWN,RUINOUS,,,,,,RIGHTFUL,,,,
REPUTABLE,RUPTURE,,,,,,RIGID,,,,
RESCUE,SCOUNDREL,,,,,,RIGOROUS,,,,
RESOURCEFUL,SCUM,,,,,,RISKY,,,,
RESOURCEFULNESS,SELFISH,,,,,,ROBUST,,,,
RESPECTABLE,SEVERE,,,,,,ROSY,,,,
RESPECTFUL,SEVERITY,,,,,,ROTTEN,,,,
RESPLENDENT,SHADY,,,,,,ROUGHNESS,,,,
RESPONSIBILITY,SHAGGY,,,,,,ROUNDABOUT,,,,
RESPONSIBLE,SHAMELESS,,,,,,RUINOUS,,,,
RETURN,SHOOT,,,,,,RUSTY,,,,
REWARD,SHORT,,,,,,RUTHLESS,,,,
RICH,SHORTCOMING,,,,,,SAGE,,,,
RIGHT,SILLY,,,,,,SANGUINE,,,,
ROAD,SIN,,,,,,SANITARY,,,,
ROSY,SINISTER,,,,,,SAVAGE,,,,
ROUND,SKEPTICAL,,,,,,SCANDALOUS,,,,
SACRED,SKETCHY,,,,,,SCARY,,,,
SAFE,SLOTH,,,,,,SCRUPULOUS,,,,
SAFETY,SLOTHFUL,,,,,,SEDENTARY,,,,
SALUTARY,SLUG,,,,,,SENILE,,,,
SALVATION,SLUGGISH,,,,,,SENSELESS,,,,
SANE,SLY,,,,,,SEVER,,,,
SATISFACTORILY,SORT,,,,,,SHABBY,,,,
SATISFACTORY,SOUR,,,,,,SHADY,,,,
SATISFY,SPOT,,,,,,SHAGGY,,,,
SCRUPULOUS,STALE,,,,,,SHINY,,,,
SECURITY,STATIC,,,,,,SHODDY,,,,
SELECTIVE,STICK,,,,,,SHORTSIGHTED,,,,
SELF-CONTAINED,STIGMA,,,,,,SHRILL,,,,
SELF-RESPECT,STRICT,,,,,,SIMPLISTIC,,,,
SENSATIONAL,STRIFE,,,,,,SINFUL,,,,
SENSE,STUBBORN,,,,,,SKETCHY,,,,
SENSIBLE,STUFFY,,,,,,SLEAZY,,,,
SHARE,STUNT,,,,,,SLEEK,,,,
SHREWD,STUPID,,,,,,SLEEPLESS,,,,
SHREWDNESS,STUPIDITY,,,,,,SLOPPY,,,,
SIGNIFICANCE,SUPERFICIAL,,,,,,SLOTHFUL,,,,
SIGNIFICANT,SUPERFICIALITY,,,,,,SLUGGISH,,,,
SIMPLICITY,SUPERSTITION,,,,,,SOBER,,,,
SIMPLIFY,SUPERSTITIOUS,,,,,,SOMBER,,,,
SINCERE,SYMPTOM,,,,,,SORE,,,,
SINCERITY,TEDIOUS,,,,,,SORROWFUL,,,,
SKILL,TEMPTATION,,,,,,SOUR,,,,
SKILLFUL,TERRIBLE,,,,,,SPEEDILY,,,,
SMART,THREAT,,,,,,SPOTLESS,,,,
SMASH,TIMID,,,,,,SPRIGHTLY,,,,
SOCIABLE,TIMIDITY,,,,,,STAGNANT,,,,
SOLACE,TIRESOME,,,,,,STALE,,,,
SOLEMN,TOUCH,,,,,,STATIC,,,,
SOLIDARITY,TOUCHY,,,,,,STATUESQUE,,,,
SOPHISTICATED,TRAGIC,,,,,,STAUNCH,,,,
SOUND,TRAUMA,,,,,,STERN,,,,
SOUNDNESS,TREACHEROUS,,,,,,STORMY,,,,
SPARE,TRICK,,,,,,STRAIGHTFORWARD,,,,
SPECIAL,TROUBLE,,,,,,STRICKEN,,,,
SPECTACULAR,TROUBLESOME,,,,,,STRINGENT,,,,
SPIRITUAL,TURMOIL,,,,,,STUBBORNLY,,,,
SPLENDID,TYRANNY,,,,,,STUDIOUS,,,,
SPLENDOR,UGLY,,,,,,STUPENDOUS,,,,
SPONTANEOUS,UNABLE,,,,,,STYLISH,,,,
SPORT,UNATTRACTIVE,,,,,,SUBLIME,,,,
SPOTLESS,UNAUTHENTIC,,,,,,SULLEN,,,,
STABILITY,UNBELIEVABLE,,,,,,SUMPTUOUS,,,,
STANDARD,UNCHECKED,,,,,,SUPERFLUOUS,,,,
START,UNCLEAN,,,,,,SUPERSTITIOUS,,,,
STATELY,UNCLEAR,,,,,,SWIFTNESS,,,,
STRAIGHT,UNCOUTH,,,,,,,,,,
STRENGTH,UNDEPENDABILITY,,,,,,,,,,
STRENUOUS,UNDEPENDABLE,,,,,,TABOO,,,,
STUPENDOUS,UNDESIRABLE,,,,,,TALENTED,,,,
STYLISH,UNDIGNIFIED,,,,,,TARDY,,,,
SUAVE,UNDUE,,,,,,TEMPERATE,,,,
SUBTLE,UNECONOMICAL,,,,,,TEMPORARILY,,,,
SUFFICIENT,UNEMPLOYED,,,,,,TENACIOUS,,,,
SUIT,UNEMPLOYMENT,,,,,,TENSE,,,,
SUITABLE,UNEXPECTEDLY,,,,,,TERRIFIC,,,,
SUMPTUOUS,UNFAIR,,,,,,THERAPEUTIC,,,,
SUPER,UNFAITHFUL,,,,,,THIRSTY,,,,
SUPERIOR,UNFAMILIAR,,,,,,THORNY,,,,
SUPERIORITY,UNFAVORABLE,,,,,,THOROUGH,,,,
SUPERLATIVE,UNFEELING,,,,,,THOUGHTLESS,,,,
SUPERNATURAL,UNFIT,,,,,,THRIFTY,,,,
SUPPLY,UNFORTUNATE,,,,,,TIRESOME,,,,
SUPPORT,UNFRIENDLY,,,,,,TOPMOST,,,,
SUPREME,UNGRATEFUL,,,,,,TORTUROUS,,,,
SURE,UNIMPORTANT,,,,,,TOUCHY,,,,
SURPLUS,UNJUST,,,,,,TRAGIC,,,,
SURPRISE,UNJUSTIFIED,,,,,,TRAUMATIC,,,,
SWEET,UNKIND,,,,,,TRIUMPHAL,,,,
TACT,UNLUCKY,,,,,,TRIVIAL,,,,
TAKE,UNMITIGATED,,,,,,TRUANT,,,,
TALENT,UNNECESSARY,,,,,,TURBULENT,,,,
TALENTED,UNPLEASANT,,,,,,UNACCUSTOMED,,,,
TASTE,UNPOPULAR,,,,,,UNARM,,,,
TENDERNESS,UNPREDICTABLE,,,,,,UNATTRACTIVE,,,,
TERRIFIC,UNPREPARED,,,,,,UNBOUND,,,,
THOROUGH,UNQUALIFIED,,,,,,UNBROKEN,,,,
THOUGHTFUL,UNREAL,,,,,,UNCIVIL,,,,
THOUGHTFULNESS,UNREALISTIC,,,,,,UNCLEAN,,,,
TOLERANCE,UNRELIABILITY,,,,,,UNDERSTANDABLE,,,,
TOLERANT,UNRELIABLE,,,,,,UNDESIRABLE,,,,
TOLERATION,UNREST,,,,,,UNDIGNIFIED,,,,
TREASURE,UNSATISFACTORY,,,,,,UNEASY,,,,
TREAT,UNSCRUPULOUS,,,,,,UNECONOMICAL,,,,
TREMENDOUS,UNSOUND,,,,,,UNEMPLOYED,,,,
TRUE,UNSOUNDNESS,,,,,,UNFAMILIAR,,,,
TRUST,UNSTABLE,,,,,,UNFEELING,,,,
TRUSTWORTHINESS,UNSUCCESSFUL,,,,,,UNFORESEEN,,,,
TRUSTWORTHY,UNSURE,,,,,,UNFORGETTABLE,,,,
TRUTH,UNSURENESS,,,,,,UNGUARDED,,,,
TRUTHFUL,UNTRUE,,,,,,UNHAPPY,,,,
TYPICAL,UNTRUSTWORTHY,,,,,,UNHEALTHY,,,,
UNBROKEN,UNWISE,,,,,,UNHURRIED,,,,
UNDAUNTED,UNWORTHY,,,,,,UNIMPEACHABLE,,,,
UNDERSTANDABLE,USE,,,,,,UNINFORMED,,,,
UNDOUBTED,USELESS,,,,,,UNJUST,,,,
UNDOUBTEDLY,VAIN,,,,,,UNLAWFUL,,,,
UNIMPEACHABLE,VANITY,,,,,,UNLIKE,,,,
UNITY,VICE,,,,,,UNLIMITED,,,,
UNSELFISH,VICIOUS,,,,,,UNMOVED,,,,
UNTOUCHED,VILE,,,,,,UNNATURAL,,,,
USABLE,VIOLATION,,,,,,UNNOTICED,,,,
USE,VIOLENCE,,,,,,UNOBSERVED,,,,
USEFUL,VIOLENT,,,,,,UNPROFITABLE,,,,
USEFULNESS,VULGAR,,,,,,UNREASONABLE,,,,
VALIANT,VULNERABILITY,,,,,,UNRULY,,,,
VALID,VULNERABLE,,,,,,UNSAFE,,,,
VALIDITY,WASTE,,,,,,UNSCRUPULOUS,,,,
VALOR,WASTEFUL,,,,,,UNSEEN,,,,
VALUABLE,WASTEFULNESS,,,,,,UNSETTLING,,,,
VALUE,WEAKNESS,,,,,,UNSOUND,,,,
VENERABLE,WEAR,,,,,,UNSPEAKABLE,,,,
VERITABLE,WEIRD,,,,,,UNSUCCESSFUL,,,,
VERSATILE,WHIP,,,,,,UNTIMELY,,,,
VERSATILITY,WITHDRAWN,,,,,,UNTOUCHED,,,,
VIABLE,WORN,,,,,,UNTRAINED,,,,
VICTORIOUS,WORSE,,,,,,UNTRUTH,,,,
VIGILANCE,WORST,,,,,,UNWORTHY,,,,
VIGILANT,WORTHLESS,,,,,,UPBEAT,,,,
VIGOR,WOUND,,,,,,UPFRONT,,,,
VIGOROUS,WRETCHEDNESS,,,,,,USABLE,,,,
VIRTUE,WRINKLE,,,,,,UTILITARIAN,,,,
VIRTUOUS,WRONG,,,,,,UTTERMOST,,,,
VITAL,WRONGFUL,,,,,,VALIANT,,,,
VITALITY,WROUGHT,,,,,,VEHEMENT,,,,
VIVACIOUS,,,,,,,VENERABLE,,,,
WARMHEARTED,,,,,,,VENOMOUS,,,,
WEALTHY,,,,,,,VERITABLE,,,,
WELL,,,,,,,VERSATILE,,,,
WHOLESOME,,,,,,,VEXING,,,,
WISDOM,,,,,,,VICTORIOUS,,,,
WISE,,,,,,,VIGILANT,,,,
WIT,,,,,,,VIVACIOUS,,,,
WONDERFUL,,,,,,,VOLATILE,,,,
WORKABLE,,,,,,,VOLUNTARY,,,,
WORTH,,,,,,,VULGAR,,,,
WORTHY,,,,,,,WANTON,,,,
,,,,,,,WARMHEARTED,,,,
,,,,,,,WARY,,,,
,,,,,,,WASTEFUL,,,,
,,,,,,,WAYWARD,,,,
,,,,,,,WEARISOME,,,,
,,,,,,,WEE,,,,
,,,,,,,WEIRD,,,,
,,,,,,,WHIMSICAL,,,,
,,,,,,,WHOLESOME,,,,
,,,,,,,WICKED,,,,
,,,,,,,WILLFUL,,,,
,,,,,,,WILY,,,,
,,,,,,,WITTY,,,,
,,,,,,,WOEFUL,,,,
,,,,,,,WONDERFUL,,,,
,,,,,,,WONDROUS,,,,
,,,,,,,WORTH-WHILE,,,,
,,,,,,,WORTHINESS,,,,
,,,,,,,WRONGFUL,,,,
,,,,,,,WROUGHT,,,,
